#{"t_start": 1605293783.2334216, "env_id": null}
r,l,t
2.0,20,2454.605268
0.9,36,2455.348459
0.7,73,2465.154999
0.8,23,2465.641289
0.8,23,2466.156487
2.0,22,2466.726613
2.0,21,2467.244623
0.8,21,2467.736547
0.8,23,2468.29699
0.8,77,2470.061032
2.0,20,2470.461181
2.0,20,2470.883105
2.0,20,2471.30447
2.0,22,2471.722521
0.9,72,2473.139596
2.0,21,2473.66147
0.8,23,2474.131715
2.0,25,2474.628847
0.8,131,2485.773718
2.0,20,2486.165528
0.8,54,2487.288278
0.8,91,2489.276975
0.9,95,2491.17448
2.0,20,2491.598566
2.0,21,2492.010669
0.8,22,2492.458526
2.0,21,2492.858063
2.0,22,2493.322977
0.8,22,2493.775162
0.8,94,2505.474326
0.8,49,2506.439018
0.8,21,2506.870195
2.0,21,2507.340459
2.0,21,2507.824059
0.9,31,2508.543135
0.8,94,2510.811112
2.0,20,2511.282517
2.0,21,2511.819925
2.0,21,2512.344353
2.0,21,2512.81614
2.0,21,2513.343691
0.8,22,2513.911381
0.8,22,2514.457061
0.8,32,2515.238159
0.8,60,2526.620359
2.0,20,2527.160549
0.8,49,2528.335093
2.0,20,2528.834372
0.8,20,2529.352515
0.8,90,2531.656544
0.8,21,2532.138425
2.0,25,2532.723841
0.8,20,2533.264932
0.9,64,2534.827838
0.8,23,2535.442613
0.8,27,2536.105065
0.8,49,2537.219305
0.8,23,2537.678534
2.0,21,2538.221548
0.8,22,2547.57476
0.8,45,2548.446546
0.8,19,2548.818776
2.0,21,2549.236703
0.8,23,2549.646222
0.9,73,2551.06651
2.0,21,2551.549832
0.9,152,2554.548276
0.9,49,2555.548504
0.0,20,2555.957272
2.0,20,2556.364396
0.8,23,2556.816354
0.8,42,2566.199012
0.9,192,2569.915188
2.0,21,2570.31933
0.8,21,2570.701948
0.9,106,2572.739243
0.8,23,2573.218119
0.9,212,2586.013523
0.8,20,2586.45387
0.8,22,2586.981923
2.0,20,2587.41692
2.0,21,2587.902002
2.0,22,2588.415511
2.0,20,2588.862877
0.8,21,2589.318147
0.9,36,2590.034371
0.8,19,2590.533144
2.0,21,2591.098885
2.0,20,2591.630164
0.8,21,2592.221086
0.8,22,2592.845088
0.8,22,2593.403272
0.8,22,2593.934391
2.0,21,2594.424681
2.0,21,2594.830624
0.9,51,2595.972794
0.8,186,2608.262679
0.8,20,2608.686017
0.9,187,2612.385267
0.9,66,2613.685428
2.0,21,2614.090762
0.8,51,2615.013556
2.0,20,2624.140309
0.8,23,2624.57887
2.0,21,2625.019894
2.0,21,2625.427933
2.0,22,2625.888256
0.8,25,2626.355951
0.8,49,2627.385092
0.8,43,2628.256894
2.0,20,2628.681912
2.0,22,2629.153014
0.8,61,2630.368867
2.0,20,2630.770474
0.8,20,2631.187763
2.0,22,2631.62347
0.8,22,2632.051832
2.0,21,2632.504425
0.8,22,2632.952932
0.8,21,2633.379267
2.0,21,2633.838357
0.8,58,2643.630597
1.0,124,2646.102026
0.8,21,2646.541729
0.8,56,2647.729348
2.0,21,2648.152804
1.0,72,2649.978923
0.8,22,2650.52745
0.8,22,2650.973206
2.0,21,2651.45438
0.8,46,2652.425026
0.8,216,2665.949064
2.0,20,2666.393038
2.0,22,2666.84178
2.0,21,2667.235373
0.8,20,2667.633524
0.9,23,2668.105446
0.8,21,2668.541132
2.0,21,2668.973379
2.0,20,2669.361831
2.0,20,2669.788801
0.8,24,2670.283499
0.8,42,2671.125885
2.0,22,2671.554635
0.8,94,2682.148074
2.0,22,2682.608774
2.0,33,2683.292892
0.8,22,2683.793274
2.0,21,2684.245891
2.0,20,2684.688217
0.8,21,2685.152201
2.0,20,2685.548691
2.0,21,2685.97139
0.8,48,2686.973663
0.8,23,2687.45649
0.8,21,2687.938541
0.8,52,2689.001083
2.0,19,2689.410502
0.8,46,2690.272332
0.9,124,2701.152267
0.8,25,2701.699594
2.0,19,2702.081009
0.8,22,2702.497027
2.0,21,2702.920781
2.0,21,2703.324843
0.8,20,2703.710894
0.8,47,2704.580002
2.0,20,2704.973738
0.8,62,2706.252382
0.8,83,2707.935805
0.9,116,2710.268051
0.8,22,2710.647166
2.0,21,2711.061926
2.0,21,2720.099089
2.0,20,2720.487824
0.8,97,2722.411863
2.0,24,2722.899452
2.0,21,2723.318379
2.0,20,2723.724893
0.8,21,2724.142935
0.8,22,2724.615242
0.8,34,2725.332102
2.0,21,2725.752793
0.8,26,2726.310292
2.0,20,2726.714281
2.0,20,2727.121776
0.8,101,2729.126501
2.0,50,2730.02318
0.8,25,2739.06323
0.8,23,2739.521875
0.8,92,2741.171434
0.9,273,2746.227276
0.9,104,2758.50571
2.0,21,2758.982941
0.8,20,2759.446459
2.0,21,2759.883766
0.8,87,2761.601106
2.0,21,2762.021482
2.0,21,2762.42345
0.9,238,2766.966816
0.8,21,2767.402044
0.9,42,2768.161245
0.8,22,2777.244168
0.9,47,2778.148852
0.8,206,2782.302181
2.0,21,2782.736588
2.0,22,2783.17661
1.0,184,2786.611439
0.8,47,2796.105818
2.0,21,2796.593631
0.9,57,2797.856715
2.0,22,2798.302455
1.0,203,2802.43354
0.8,40,2803.314541
0.8,55,2804.404837
0.8,54,2805.428552
0.9,180,2817.62052
0.8,21,2818.111975
2.0,21,2818.588012
0.8,22,2819.083775
0.9,58,2820.312545
2.0,20,2820.739842
0.8,21,2821.252852
0.8,20,2821.707279
2.0,22,2822.175215
2.0,21,2822.637582
2.0,20,2823.089823
0.8,22,2823.547131
0.8,21,2823.976162
2.0,21,2824.384867
0.8,22,2824.823039
0.8,22,2825.272035
2.0,21,2834.13451
0.8,21,2834.611016
0.8,27,2835.164334
2.0,21,2835.61796
2.0,20,2836.006682
2.0,22,2836.470715
0.8,21,2836.864705
2.0,20,2837.221124
0.8,43,2838.031194
2.0,26,2838.542629
0.8,20,2839.003156
0.9,40,2839.786115
2.0,21,2840.213352
0.8,22,2840.663144
2.0,21,2841.10248
